ratio,input_id,start_position,sequence_length,prefix_length,eval_length,expected_kept_tokens_per_layer,avg_actual_kept_tokens_per_layer,min_actual_kept_tokens_per_layer,max_actual_kept_tokens_per_layer,actual_keep_fraction,estimated_kv_cache_mb,baseline_token_nll_mean,baseline_logit_entropy_mean,peak_process_rss_mb_delta,peak_mps_driver_allocated_mb_delta
0.0,0,0,2048,1984,64,1984,1984.0,1984,1984,1.0,23.25,2.9148097038269043,2.1638498306274414,13.359375,1672.03125
0.0,1,2048,2048,1984,64,1984,1984.0,1984,1984,1.0,23.25,1.8112813234329224,1.9852638244628906,15.609375,1673.046875
0.0,2,4096,2048,1984,64,1984,1984.0,1984,1984,1.0,23.25,1.7902463674545288,2.052121162414551,15.71875,1673.046875
0.0,3,6144,2048,1984,64,1984,1984.0,1984,1984,1.0,23.25,2.858738899230957,2.925771951675415,15.765625,1673.046875
0.0,4,8192,2048,1984,64,1984,1984.0,1984,1984,1.0,23.25,3.0339717864990234,2.879465103149414,15.84375,1673.046875
0.0,5,10240,2048,1984,64,1984,1984.0,1984,1984,1.0,23.25,1.8208153247833252,1.9170268774032593,16.0,1673.046875
0.0,6,12288,2048,1984,64,1984,1984.0,1984,1984,1.0,23.25,0.6006494164466858,0.8710830211639404,16.125,1673.046875
0.0,7,14336,2048,1984,64,1984,1984.0,1984,1984,1.0,23.25,3.112318992614746,2.543018341064453,16.265625,1673.046875
0.0,8,16384,2048,1984,64,1984,1984.0,1984,1984,1.0,23.25,3.1014316082000732,2.5797319412231445,16.390625,1673.046875
0.0,9,18432,2048,1984,64,1984,1984.0,1984,1984,1.0,23.25,2.254091501235962,2.368074655532837,16.453125,1673.046875
0.0,10,20480,2048,1984,64,1984,1984.0,1984,1984,1.0,23.25,2.0106945037841797,2.16684627532959,16.59375,1673.046875
0.0,11,22528,2048,1984,64,1984,1984.0,1984,1984,1.0,23.25,2.8889613151550293,2.763232707977295,16.640625,1673.046875
0.0,12,24576,2048,1984,64,1984,1984.0,1984,1984,1.0,23.25,2.768782615661621,2.707700490951538,17.671875,1673.046875
0.0,13,26624,2048,1984,64,1984,1984.0,1984,1984,1.0,23.25,2.4610133171081543,2.3021984100341797,17.75,1673.046875
0.0,14,28672,2048,1984,64,1984,1984.0,1984,1984,1.0,23.25,1.9562764167785645,1.7762032747268677,17.828125,1673.046875
0.0,15,30720,2048,1984,64,1984,1984.0,1984,1984,1.0,23.25,1.947062611579895,1.7982661724090576,17.90625,1673.046875
0.0,16,32768,2048,1984,64,1984,1984.0,1984,1984,1.0,23.25,2.187248945236206,2.2235541343688965,17.9375,1673.046875
0.0,17,34816,2048,1984,64,1984,1984.0,1984,1984,1.0,23.25,2.0507335662841797,2.1707866191864014,18.0625,1673.046875
0.0,18,36864,2048,1984,64,1984,1984.0,1984,1984,1.0,23.25,2.2750916481018066,2.740048885345459,18.15625,1673.046875
0.0,19,38912,2048,1984,64,1984,1984.0,1984,1984,1.0,23.25,1.5557347536087036,1.709432601928711,18.296875,1673.046875
0.0,20,40960,2048,1984,64,1984,1984.0,1984,1984,1.0,23.25,1.8212076425552368,2.1007704734802246,18.328125,1673.046875
0.0,21,43008,2048,1984,64,1984,1984.0,1984,1984,1.0,23.25,2.431795597076416,2.726475238800049,18.375,1673.046875
0.0,22,45056,2048,1984,64,1984,1984.0,1984,1984,1.0,23.25,2.382230043411255,2.7530460357666016,18.453125,1673.046875
0.0,23,47104,2048,1984,64,1984,1984.0,1984,1984,1.0,23.25,2.947852373123169,2.4202721118927,18.5,1673.046875
0.0,24,49152,2048,1984,64,1984,1984.0,1984,1984,1.0,23.25,2.4162955284118652,2.520083427429199,18.53125,1673.046875
0.0,25,51200,2048,1984,64,1984,1984.0,1984,1984,1.0,23.25,2.1125755310058594,1.9813406467437744,18.65625,1673.046875
0.0,26,53248,2048,1984,64,1984,1984.0,1984,1984,1.0,23.25,2.0042762756347656,1.819441795349121,18.765625,1673.046875
0.0,27,55296,2048,1984,64,1984,1984.0,1984,1984,1.0,23.25,1.8092528581619263,2.1464924812316895,18.796875,1673.046875
0.0,28,57344,2048,1984,64,1984,1984.0,1984,1984,1.0,23.25,1.9569425582885742,2.208359479904175,18.96875,1673.046875
0.0,29,59392,2048,1984,64,1984,1984.0,1984,1984,1.0,23.25,2.7208521366119385,2.5159707069396973,19.015625,1673.046875
0.0,30,61440,2048,1984,64,1984,1984.0,1984,1984,1.0,23.25,2.3326773643493652,2.342282772064209,19.078125,1673.046875
0.0,31,63488,2048,1984,64,1984,1984.0,1984,1984,1.0,23.25,2.2011051177978516,2.311366319656372,19.15625,1673.046875
0.05,0,0,2048,1984,64,1884,1884.0,1884,1884,0.9495967741935484,22.078125,4.180757522583008,3.274778127670288,1.5625,616.015625
0.05,1,2048,2048,1984,64,1884,1884.0,1884,1884,0.9495967741935484,22.078125,2.2761354446411133,2.5423696041107178,11.515625,616.34375
